ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	発表ﾌﾟﾚﾐｱﾑ	売却側企業 営業利益(損失)	買収側企業 営業利益(損失)	ﾀｰｹﾞｯﾄ企業 営業利益(損失)	買収側企業 内部留保率	買収側企業 利付き負債(米国以外)	買収側企業 利子負担率	買収側企業 有利子負債	買収側企業 流動負債/総資本	買収側企業 現金比率	買収側企業 総負債/自己資本	買収側企業 財務ﾚﾊﾞﾚｯｼﾞ	ﾀｰｹﾞｯﾄ企業 内部留保率	ﾀｰｹﾞｯﾄ企業 利付き負債(米国以外)	ﾀｰｹﾞｯﾄ企業 利子負担率	ﾀｰｹﾞｯﾄ企業 有利子負債	ﾀｰｹﾞｯﾄ企業 流動負債/総資本	ﾀｰｹﾞｯﾄ企業 現金比率	ﾀｰｹﾞｯﾄ企業 総負債/自己資本	ﾀｰｹﾞｯﾄ企業 財務ﾚﾊﾞﾚｯｼﾞ
日本テクシード	パーソルホールディングス		16.33	25.41		249.402		61.9679		99.0666		37.9684	0.571251	132.545	2.47369			86.9781					
プライム神田ビル	大和証券オフィス投資法人		16.33			136.361		7.12014		94.122			0.992335	91.0326	1.91								
コンフォリア新栄	コンフォリア・レジデンシャル投資法人		16.31			77.0332		12.8661		91.4322			0.492005	108.446	2.0909								
Mycal Systems Corp	富士ソフト	マイカル	16.31		174.348	149.659		81.3951		99.6195		29.3135	0.644791	83.1234	1.90549								
ロイヤルヒル神戸三宮II	Unnamed Buyer	さくら総合リート投資法人	16.3		19.1215																		
セントラル新富町ビル	野村不動産ｵﾌｨｽﾌｧﾝﾄﾞ投資法人	DS Investment Holdings Ltd	16.3			102.272				73.8892			0.361651	102.131	1.94892								
Land in Koto-ku	東京建物	トピー工業	16.29		-27.7617	465.046		69.7437		89.7147		13.5334	0.248543	314.747	4.17165								
太洋海運	川崎汽船		16.29	21.17		-200.793	2.51112	100		95.6534		26.8343	0.506143	301.771	5.8589					40.4015	0.0644195	867.122	8.87475
Industrial Lot	東京精密	キャタピラージャパン	16.29			146.798		64.731		99.6454		24.3235	1.11098	38.5159	1.36699								
"ナディア,Xbs"	ＳＨＩＦＴ	DECEM	16.29			37.311		100		99.6822		25.0812	1.65748	51.7403	1.64369								
ライフサポート	ミアヘルサ	"プライベート･インベスター,ヒノキヤグループ"	16.28																				
TCI MCM ソリューション	トランス・コスモス		16.28	37.89		167.457	0.226224	61.5147		99.4103		36.323	0.781126	97.1485	1.999			100		19.0513	0.942048	24.0351	1.1586
ＮＢＦ四条烏丸ビル	Unnamed Buyer	日本ビルファンド投資法人	16.28		319.375																		
"広野発電所,児湯発電所"	グローバルエナジー	FHTホールディングス	16.27		-2.52088																		
自走式駐車場事業	石川島建材工業	ＩＨＩ	16.27		263.759					102.953													
Fukushima Sohgo Security Services Co Ltd	綜合警備保障	日本化成	16.27		9.27032	350.742		70.8563		95.1213		21.5577	1.38776	63.7947	1.74043								
アクアマリーン西宮浜	ヘルスケア＆メディカル投資法人	Ever Green KK	16.26			20.1064				90.5086			0.190091	108.962	2.08449								
Kuroshio Shijo	Unnamed Buyer	ｱｽﾄﾛ･ｼﾞｬﾊﾟﾝ･ﾌﾟﾛﾊﾟﾃｨ･ｸﾞﾙｰﾌﾟ	16.25		12.8978																		
アイランド	日本オプティカル		16.25							108.973													
立川駅前ビル	ケネディクス・オフィス投資法人	ﾌﾟﾙﾃﾞﾝｼｬﾙ･ﾌｧｲﾅﾝｼｬﾙ	16.25		1251	135.117		7.97178		89.6324			0.540085	98.0699	1.96541								
Assets of Echizen-Line	Echizen Railroad Co Ltd	京福電気鉄道	16.25		-3.18839																		
日総第17 ビル	Unnamed Buyer	ケネディクス・オフィス投資法人	16.25		135.117																		
七十七カード	七十七銀行		16.25			236.95		77.4593	82797.1					1816.79	19.3694								
アブレスト新大阪	Unnamed Buyer	大和証券リビング投資法人	16.24		72.2555																		
シネックスジャパン	丸紅		16.24	21.32		1214.07	2.81458	74.1173		94.3762		38.8005	0.277073	319.092	4.65661					79.6404	0.0419738	2467.43	17.8709
ローマイヤ	スターゼン		16.24	0.01		63.0698		81.6934		97.4283		32.5676	0.342424	122.799	2.31224			129.545					
南港スチールセンター	オリックス不動産	清和中央ホールディングス	16.23		1.52889																		
イタンジ	GAtechnologies[ｼﾞｰｴｰﾃｸﾉﾛｼﾞｰｽﾞ]	"プライベート･インベスター,Fujiken Home KK"	16.22			17.5542		100		87.7023		30.9268	1.11585	159.283	2.35334								
日本電熱	タカラ	三井物産	16.22		1347.24					103.379													
オー・エイチ・ティー	ブイ・テクノロジー	ＨＩＦ－Ａ投資事業組合	16.22			62.2963		66.5243		99.3265		42.4303	0.973183	152.446	2.61299			95.0958					
アポロ精工	テクノホライゾン	アスクムパートナーズ	16.22			22.8356		87.446		97.6317		52.1704	0.548006	210.297	2.98193								
パシフィックマークス目白	Unnamed Buyer	ユナイテッド・アーバン投資法人	16.21		165.996																		
ワイ・イー・データ	安川電機		16.2	29.8		256.636	-0.491283	66.8093				31.7068	0.32969	96.5891	1.97534			100		12.6363	1.67337	21.0748	1.29847
ＭＩＣＳ化学	盛田エンタープライズ		16.2	-4.23			0.508227											99.7931		16.2616	2.27398	20.1066	1.18694
Residia Fudomae	Unnamed Buyer	アドバンス・レジデンス投資法人	16.18		155.581																		
Taiyo Industry Co Ltd	ＯＣＨＩホールディングス	三菱瓦斯化学	16.18		419.868	18.3285		78.0814		99.1265		61.3074	0.307593	232.367	3.37557								
ＦＰ事業及び注文住宅事業	ニチハ	松本建工	16.18		-4.57515	113.471		69.9955		99.1283		19.1886	1.40131	44.9878	1.4704								
タリーズコーヒージャパン	伊藤園	ユニカフェ	16.18		-2.95552	157.14		27.413		97.2725		28.087	1.16977	163.439	2.87643			98.2115					
ラウンドワン市川鬼高	Unnamed Buyer	ラウンドワン	16.18		-181.927																		
日産ﾌﾟﾘﾝｽ東京販売	日産東京販売ホールディングス	日産自動車	16.18		-1421.11	32.4971		83.7607		97.4079		27.6195	0.651658	105.889	2.09608								
商業藝術	ＤＤホールディングス		16.18			-91.6243				104.98		50.0152	0.130365	-3238.65	11.5876								
Business in Kinki area	イオン	マックスバリュ西日本	16.17		80.9658	1421.84				80.466		59.9104	0.277336	1000.7	11.0613								
エイジェックス石油	Consortium	石油天然ガス金属鉱物資源機構	16.17																				
トワイシア横濱磯子	いちごオフィスリート投資法人	いちご	16.16		67.6808	75.5457				86.3326			0.393635	122.216	2.20119								
文理	学研ホールディングス		16.16			47.0755		67.6002		97.3266		35.1606	0.69898	186.619	2.71329								
オートサーバー	株式会社 アッシュ		16.15	41.04			3.01097											99.3533		24.7915	3.14105	39.055	1.58333
国際試薬	シスメックス	三菱ウェルファーマ	16.15		341.813	488.56	2.98758	54.6105		98.5249		21.0321	0.751454	38.5862	1.39479					17.6933	1.15348	23.6284	1.23697
大同生命新潟ビル	ｼﾞｬﾊﾟﾝﾘｱﾙｴｽﾃｲﾄ投資法人		16.14			311.085				94.2276			0.350185	94.4125	1.92718								
鈴木シャッター	ＬＩＸＩＬ		16.14	5.92		338.102				93.4274		33.6964	0.189224	214.939	3.63544								
Rising Place川崎二番館	トーセイ・リート投資法人	ライジングトラスト	16.14			29.1132		2.39617		88.0771			0.371798	111.674	2.07934								
DOOR賃貸事業	キャリアインデックス	リブセンス	16.13		-10.5797	4.97258		100		99.6977		17.1559	2.25193	52.9966	1.47914								
アーバイン広島エグゼクティブ	いちごホテルリート投資法人	株式会社ユキ・コーポレーション	16.12			7.34857		0.0301525		69.5474			0.594534	84.8699	1.83405								
"TI 新見太陽光発電所,TI 岡山太陽光発電所,TI 中標津太陽光発電所"	東京インフラ・エネルギー投資法人	ブルーエナジーブリッジファンドイオタ合同会社	16.12			4.76517				80.5138			0.911911	118.909	2.19412								
マイアトリア名駅	Unnamed Buyer	日本リート投資法人	16.12		87.9025																		
プレミアロッソ信託受益権	ＮＴＴ都市開発リート投資法人	住友不動産	16.12		2068.15	73.942		0.00522135		91.9303			0.194524	109.916	2.03276								
ケーブルテレビ事業	ジュピターテレコム		16.12			895.268		58.7704				18.7636	0.727544	72.4719	1.82457								
TDKラムダ	ＴＤＫ		16.11			1052.12		71.3411		97.1283		42.1197	0.441265	139.022	2.35173			89.0732					
電子モジュール事業	住友金属工業	北陸電気工業	16.1		5.39574	973.361				110.898		28.9602	0.0255226	229.048	3.27007								
製パン事業	白石食品工業	第一屋製パン	16.1		-4.32898																		
ｳｪｰﾌﾞﾛｯｸﾎｰﾙﾃﾞｨﾝｸﾞｽ	エムシーディースリー		16.09				14.0519									87.636		98.4341		27.471	0.681125	82.7717	2.09907
アシスタンストラベルジャパン	ギグワークス	International SOS Pte Ltd	16.08			9.31919		77.4458		98.7638		45.0709	0.869241	164.271	2.51692								
"ＫＤＸレジデンス川崎,ＫＤＸレジデンス蒲田南ＩＩ"	ケネディクス・レジデンシャル・ネクスト投資法人	Jyukyo Holdings Co Ltd	16.05			81.7688				87.4621			0.657058	116.817	2.15527								
チサンイン 鹿児島谷山	星野リゾート・リート投資法人	Takasui KK	16.04			61.724				89.6456			0.93959	69.3452	1.66521								
竹山ホワイトビル	ケネディクス・オフィス投資法人	クイーン・キャピタル	16.04			135.117		7.97178		89.6324			0.540085	98.0699	1.96541								
中日電子	タイテック	中部日本放送	16.03		4.08454					75.6707													
Iwagin Lease & Data Co Ltd	岩手銀行		16.02			58.0986		63.605	32510.3					1804.95	18.83								
ベビー・マタニティ・ギフト事業	ベルーナ	レモール	16.02			148.421		85.5564		98.8439		23.1651	0.556384	112.751	2.16								
"さわやか笠寺館,さわやかなすしおばら館"	イシカリ合同会社	ウチヤマホールディングス	16.02		-10.2369																		
セントフォローカンパニー	クオールホールディングス		16.01			69.4655		68.6776		98.6369		38.4892	0.507014	142.697	2.49079								
武蔵村山倉庫	ユナイテッド・アーバン投資法人	ＫＩＣＡＭ武蔵村山特定目的	16.01			165.996				90.9853			0.831256	92.4932	1.90842								
Mitsubishi Electric Consumer Products Thailand Co	三菱電機	サイアムセメント	16		1185.23	2171.46		59.9844		98.8613		31.3757	0.509775	69.9748	1.77616								
瀬戸内ゴルフリゾート	リソルホールディングス	ジャパンゴルフプロジェクト	16			9.931		10.5813		89.7563		19.2335	0.583334	187.281	2.99419								
日本粉末合金	ファインシンター		16			1.71646				91.6309		40.5209	0.305266	175.913	2.88754								
土地及び建物/神奈川県川崎市	日新	日新商事	15.98		6.61937	24.6299		45.8396		93.7744		25.4367	0.556262	105.992	2.07369								
スターホールディングス	緑株式会社		15.98	76.51			-1.30679															18.4736	1.19183
ラ・エスト	ｻﾏﾝｻﾀﾊﾞｻｼﾞｬﾊﾟﾝﾘﾐﾃｯﾄﾞ		15.98			-33.2466				102.859		30.4639	0.33986	263.029	5.09573								
エスパ川崎信託受益権	日本都市ファンド投資法人	昭和電線ホールディングス	15.97		71.5973	257.773		5.71739		89.518			0.885719	98.1366	2.02307								
KOHYO Onohara Store/Osaka	阪急阪神リート投資法人	阪急阪神ホールディングス	15.95		19.4888	45.3967		6.17282		87.872			0.461968	97.5915	1.96691								
Park Cube Shin Itabashi	日本アコモデーションファンド投資法人		15.94			100.071				91.9385			0.779365	110.391	2.12073								
レジディア中野富士見台	アドバンス・レジデンス投資法人	野村不動産ホールディングス	15.94		720.058	155.581				90.6247			0.455008	98.5477	1.98079								
ＭＩＤ芝金杉橋ビル	有限会社ティアンドエム	MCUBS MidCity投資法人	15.94		70.4865																		
名古屋港コンテナ埠頭	Nagoya Port Terminal Public Corp	"川崎汽船,商船三井,日本郵船"	15.93																				
協栄ビル管理	ハリマビステム		15.91			6.40934		88.9078		99.0415		36.2676	0.904544	85.6962	1.8437								
土地及び建物	大和自動車交通	江商	15.91			-33.431				113.241		21.5355	1.02302	303.859	3.26069								
TOSHIBA GLASS	AGCテクノグラス	東芝	15.89		984.836	23.5513		83.771				42.7472	0.107801	139.527	2.49007								
セコムテクノサービス	セコム		15.88	-2.16		1291.63	44.343	50.3167		99.4188		19.3708	1.82317	58.6183	1.73774	100		100		18.7085	0.85852	25.9026	1.25426
ジークレスト	サイバーエージェント 　		15.88			971.447		35.109		99.9854		33.6957	1.43927	147.047	2.84665								
土地及び建物	イー･グループ	ＴＡＳＡＫＩ/旧	15.87		24.2367																		
大崎エンジニアリング	大崎電気工業		15.87	119.18		25.3185	-1.60631			88.8714		20.8399	0.659319	68.1238	2.00039					9.81873	1.19791	12.3373	1.10079
三菱ふそう社 明石支店	ＪＡＬＣＯホールディングス	日本インダストリアル特定目的会社	15.87			12.007		79.4941		72.4479		12.5593	0.401825	162.936	2.77939								
債権/ダイナシティ	森下トータル･サービス	インボイス	15.86																				
横須賀プリンスホテル	フロンティア・ファースト	西武鉄道	15.86																				
ニチゾウテック	日立造船		15.85	35.9		145.232	5.45199	52.5129		92.4796		46.144	0.238637	238.397	3.43327	67.8689				35.27	0.375303	101.709	1.88226
Tobu Drug	マツモトキヨシ	東武鉄道	15.85		-128.073					98.1539													
ILS	大塚化学	伊藤ハム	15.85		85.0585																		
ユニバーサルホーム	DRCI Investment Fund		15.84	89.49														100					
北日本和島食品	ブルボン		15.84			39.421		81.8124		99.9011		26.6635	0.703519	55.9938	1.59758								
Habitation Kamagaya/Chiba Prefecture	合同会社SAMURAI14	アビタシオン	15.82																				
アラコ	トヨタ紡織		15.82			538.659		73.0441				33.8162	0.682424	142.155	2.59828								
Property in Naka-ku/Nagoya	日本都市ファンド投資法人		15.82			257.773		5.71739		89.518			0.885719	98.1366	2.02307								
G ビル名古屋栄01	日本都市ファンド投資法人	"NK Planning KK,トラストワン・アセットマネジメント"	15.82			257.773		5.71739		89.518			0.885719	98.1366	2.02307								
プロトン	アライズ１号投資事業有限責任組合	アイネット	15.8		20.3331																		
マキシム	ベルーナ	Ｃ Ｃｈａｎｎｅｌ	15.79		-4.95553	148.421		85.5564		98.8439		23.1651	0.556384	112.751	2.16								
セントラル・コンピューター・サービス	エヌ・ティ・ティ・データ	ＪＸ金属	15.79			1312.83		67.1486		94.9261		31.9083	0.328362	165.017	2.77406								
ニューファミリー	ジャパン		15.78	16.48		19.9328	0.436795	80.4878				29.7764	0.3689	47.6088				-24.4186		56.1996	0.104231	279.072	3.79236
GMO SolutionPartner Inc	ＧＭＯアドパートナーズ		15.78			3.42395		49.5745		99.9992		48.9451	0.860519	121.733	2.24506								
アレンダール茨木東中条	ユナイテッド・アーバン投資法人	野村不動産ホールディングス	15.78		720.058	165.996				90.9853			0.831256	92.4932	1.90842								
プロビズモ	テクノプロ・ホールディングス		15.78			182.788		49.8528		98.5224		36.9924	0.74516	103.546	2.14264								
エネサーブ	大和ハウス工業		15.77	-13.43		3368.76	0.288075	61.0962		96.7884		25.3086	0.330454	172.155	2.7174	100				7.84817	1.87419	11.285	1.16288
ルネサスデバイス販売	グローセル	ルネサステクノロジ	15.75			-4.65053				77.6978		30.4965	0.3308	49.5622	1.45866								
土地及び建物/東京都北区浮間一丁目	Unnamed Buyer	大日精化工業	15.73		46.4109																		
東急虎ノ門ビル隣接土地	東急リアル・エステート投資法人	Nisso Building KK	15.73			69.6024		9.97257		89.7718			0.0907923	99.7954	1.9584								
レジディア鶴舞	アドバンス・レジデンス投資法人	合同会社RBFA	15.72			155.581				90.6247			0.455008	98.5477	1.98079								
ブローボトルの製造・販売事業	共同印刷	クレハ	15.72		148.958	6.11266				90.2002		25.9543	0.382317	105.272	2.07141								
Toyama Light Metal Industry Co	三協立山/旧		15.72							74.1894													
ミスタージョン	コメリ		15.71	11.9		286.069	8.14022	89.0109		99.5445		28.7495	0.172868	73.5926	1.77571	74.382		79.7533		50.2284	0.109995	330.615	4.48621
タイムレス	ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ		15.71			9.07448		81.4219				34.9038	1.1803	171.824	2.43596								
大分リース株式会社	大分銀行		15.69			63.8716		65.2006	32039.6					1781.58	18.4225								
兜町日興ビルＩＩ	Unnamed Buyer	ケネディクス・オフィス投資法人	15.68		135.117																		
土地及び建物	コミュニティ・リテール・ワン	ニッピ	15.67		8.24454																		
ﾚｷｼﾝﾄﾝ･ﾌﾟﾗｻﾞ広島大手町	Unnamed Buyer	インヴィンシブル投資法人	15.66		-13.6859																		
ラ・ヴィータ日本橋	大和証券リビング投資法人		15.65			72.2555		16.6442		91.8557			0.356909	105.276	2.07037								
創造学園	学研ホールディングス		15.64			47.0755		67.6002		97.3266		35.1606	0.69898	186.619	2.71329								
駒沢コート信託受益権	ユナイテッド・アーバン投資法人	丸紅	15.63		1214.07	165.996				90.9853			0.831256	92.4932	1.90842								
光藍社	ＣＨＩＮＴＡＩ		15.62							99.618													
東武運輸栃木	ﾌﾟﾘｳﾞｪ企業投資ﾎｰﾙﾃﾞｨﾝｸﾞｽ	東武鉄道	15.61		-128.073	-195.349					88.157			108.885	2.57293								
ロジシティ若宮	福岡リート投資法人		15.61			57.5555				90.5513			0.726375	96.3573	1.96186								
ﾌﾟﾗﾈｯｸｽﾎｰﾙﾃﾞｨﾝｸﾞ	株式会社ＡＭＫ		15.61	38.47			-3.63867											111.622		27.2932	0.624014	80.6737	1.73353
コジマ×ビックカメラ那覇店	フロンティア不動産投資法人	ケミカルビル	15.6			106.605				95.5644			0.471779	94.6582	1.92878								
パークアクシス金山WEST	日本アコモデーションファンド投資法人		15.6			100.071				91.9385			0.779365	110.391	2.12073								
Unitika Estate Co Ltd	Yamaichi Estate KK	ユニチカ	15.6		56.7685																		
イー・エンジン	ディップ		15.6			69.0419						9.97114	3.48452	15.0544	1.22832								
サンテレホン	複数買収者		15.6	3.05														94.9668					
オストジャパングループ	富士薬品		15.58	136.89			3.28257									93.6749		97.3408		47.635	0.39698	160.667	2.94753
新世薬品	ﾌｧｰﾏﾗｲｽﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ		15.58			11.7255		69.4836		95.3414		37.9874	0.490204	295.66	4.11624								
白松ビル	シグマ・ゲイン	ケイエヌプロパティー	15.58			-33.3213				101.087		37.3579	1.23499	173.735	3.47287								
富士機工	ジェイテクト	富士紡ホールディングス	15.58		49.854	121.876	62.0521			93.312		28.533	0.331226	128.19	2.41419	91.3369		98.7582		41.4222	0.361772	107.376	2.32565
常磐パッケージ	高速	常磐興産	15.58		-27.3466	31.5075		66.4757				36.9806	0.622223	66.9836	1.66438								
技研興業	フリージア・マクロス		15.57			7.56235	5.42313			83.71		24.0861	0.479737	165.039	3.26586	95.6621		95.1977		34.0247	0.568407	70.5482	1.71396
池田不動産	大阪木材相互市場	ＦＲＡＣＴＡＬＥ	15.56		-6.90194																		
北海道ファーマライズ	ﾌｧｰﾏﾗｲｽﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ		15.56			11.7255		69.4836		95.3414		37.9874	0.490204	295.66	4.11624								
Nail gun business	マキタ	兼松サステック	15.55		6.67865	834.491		69.791		96.9918		14.9836	1.22038	22.7333	1.21016								
ジャペル	あらた		15.55			108.679		79.8415		97.4647		52.3591	0.162859	180.667	2.90481								
株式会社トリスタ	ドワンゴ		15.55			31.2236		81.4627		99.7167		29.4596	1.07857	55.3746	1.48066								
テクノエイト	複数買収者	オンキヨーサウンド＆ビジョン株式会社	15.55															101.899					
"モンセラート四谷,ホメスト池尻,8駐車場"	複数買収者	インヴィンシブル投資法人	15.54		-13.6859																		
Siam Compressor Industry Co Ltd	三菱電機	三菱商事	15.53		304.831	2171.46		59.9844		98.8613		31.3757	0.509775	69.9748	1.77616								
コートホテル倉敷	いちごホテルリート投資法人	合同会社西日本ホールディングス	15.51			7.34857		0.0301525		69.5474			0.594534	84.8699	1.83405								
Valve Business	栗本鐵工所	本山製作所	15.5			44.0809		73.0939		96.0221		42.7902	0.35483	108.44	2.20495								
ビュロー紀尾井町	ＮＴＴ都市開発リート投資法人	スペースデザイン	15.49			73.942		0.00522135		91.9303			0.194524	109.916	2.03276								
ＣＩＣ虎ノ門ビル	平和不動産リート投資法人	ウォーターウェイ	15.48			53.5751		11.5031		89.8899			0.701514	100.651	1.98429								
Dacvivre Co	Consortium	マイカル	15.48		174.348																		
仙台一番町ビル	Unnamed Buyer	いちごオフィスリート投資法人	15.47		75.5457																		
アイヴィジット	博報堂ＤＹホールディングス	りらいあコミュニケーションズ	15.47		91.2371	424.801		57.6872		99.2454		44.2394	0.516878	175.087	2.90438								
IIF 福岡東ロジスティクスセンター	産業ファンド投資法人	えん	15.46			140.113				90.3105			2.16714	114.305	2.1715								
ひまわりホールディングス	ＩＳホールディングス		15.46				11.9061									100			257.881			-788.769	
アーバンステージ上前津	野村不動産ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人		15.45			33.7822		0.317942		78.26				125.289	2.24267								
愛知クレジットサービス	ＡＴグループ		15.45			100.585		83.883		99.1215		31.5986	0.00589203	89.6977	1.91113								
"仲介マーケット事業,ｲﾝﾀｰﾈｯﾄﾒﾃﾞｨｱ事業,不動産サービス事業"	ウェイブダッシュ	ＳＢＩホールディングス	15.44		1677.89	9.44066		100		83.5167													
土地及び建物	インテリックス		15.44			20.4293		73.4001		89.8604		43.0097	0.398119	213.267	3.3702								
サリ	Fuji Kikaku Co		15.43				32.9805									100		90.4481		58.2954	0.0441317	425.439	5.60662
Land in Ohta-ku	新日鉄都市開発	新家工業	15.42		6.72581																		
ＭＩＤ ＲＥＩＴ京橋ビル	Unnamed Buyer	MCUBS MidCity投資法人	15.41		70.4865																		
バンダイロジパル	ﾊﾞﾝﾀﾞｲﾅﾑｺﾎｰﾙﾃﾞｨﾝｸﾞｽ		15.41	13.33		798.551		49.6053				24.0071	1.16132	43.3579	1.40924			100					
栗原医療器械店	メディアスホールディングス	エム･ケー/群馬	15.41			24.9537		77.8526		98.3419		71.83	0.208128	432.957	5.19607								
三幸	アッシュ・プランニング		15.41	40.35														99.35					
川田建設	川田工業		15.4	7.2			-9.36765			627.717								113.216		70.0949	0.196114	504.571	4.25243
アトラス･パートナーズ	ｲﾃﾞﾗ ｷｬﾋﾟﾀﾙﾏﾈｰｼﾞﾒﾝﾄ		15.4																				
ケンジントンマンション西天満	積水ﾊｳｽ・ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人		15.4			53.1894		0.856388		84.7037			0.37943	107.431	2.12095								
エスティメゾン横浜青葉台サウス	積水ハウス・リート投資法人	積水ハウス	15.39		1755.35	148.214				90.5904			0.253366	94.4548	1.93969								
IPB 御茶ノ水ビル	エヌ･ティ･ティ都市開発	ＮＴＴ都市開発リート投資法人	15.38		73.942	250.735		0.00619003		89.1775		11.0697	0.256803	302.194	4.35364								
"レジディア中延Ⅱ,レジディア御茶ノ水Ⅱ"	アドバンス・レジデンス投資法人	伊藤忠商事	15.38		2211.31	155.581				90.6247			0.455008	98.5477	1.98079								
MS&Consulting	ホッコク	ｴﾙ･ｼｰ･ｴｰ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	15.37		-1.65011	-2.9001				117.735		33.0537	0.234023	25297.7	15.2973								
ウエストパーク支倉	大和証券リビング投資法人		15.37			72.2555		16.6442		91.8557			0.356909	105.276	2.07037								
カスタリア榴ヶ岡	大和ハウスリート投資法人		15.36			211.468				90.4563			0.62523	83.9369	1.83518								
Tight Work KK	ＵＴグループ		15.35			67.5694		38.0554		99.0716		42.8436	1.11975	164.888	2.57262								
タルイ	燦ホールディングス		15.35			24.0565		76.3312				7.84739	2.77107	13.4487	1.15033								
icot 金剛	Unnamed Buyer	ｱｸﾃｨﾋﾞｱ･ﾌﾟﾛﾊﾟﾃｨｰｽﾞ投資法人	15.34		153.418																		
スカイヒルズ N11	日本リート投資法人	ホエール特定目的会社	15.34			87.9025				93.4893			0.611511	110.149	2.08402								
Central Wellness Club Nagatsuta Minamidai	ケネディクス商業リート投資法人		15.32			74.219				88.4662			0.347916	102.444	2.02708								
タベルモ	複数買収者		15.32																				
カスタリア壬生	大和ハウスリート投資法人		15.32			211.468				90.4563			0.62523	83.9369	1.83518								
イプセ新宿夏目坂	大和ハウスリート投資法人		15.32			211.468				90.4563			0.62523	83.9369	1.83518								
ＭＪロジパーク加須 2	三菱地所物流リート投資法人		15.32			37.1527				95.2663			0.664135	52.097	1.50448								
56店舗	ＪＦＬＡホールディングス	オリジンフーズ	15.31			-11.1816				183.432		54.2591	0.206715	454.669	5.2036								
Shin-meito	DM三井製糖ホールディングス	日商岩井	15.31			34.2516		53.5456		98.2797		18.9346	0.640664	64.5786	1.71736								
堀田丸正	ＲＩＺＡＰグループ		15.31			11.7065	-5.05911	100		55.3514		45.215	0.467488	444.749	6.40877					18.0464	3.05793	23.313	1.2439
ＡＣＡＳ２	電算システム	日本グロース・キャピタル	15.3																				
宮島醤油フレーバー	プレナス		15.3			8.51675				98.5286		20.5389	0.63709	55.6788	1.56858								
JEOL RESONANCE Co Ltd	日本電子	"神戸製鋼所,INCJ"	15.29			49.2786		68.8117		97.2819		45.9136	0.228769	187.041	2.94732								
カスタリア大森Ⅲ	大和ハウスリート投資法人		15.29			211.468				90.4563			0.62523	83.9369	1.83518								
多治見北開発	ＰＧＭホールディングス	ハワードパーク	15.28			110.845						8.07018	0.662282	194.404	3.08634								
ＳＢＩサーチナ	モーニングスター	ＳＢＩホールディングス	15.27		1677.89	16.6533				99.901		12.6507	2.7322	15.2432	1.27071								
ナルミヤ･インターナショナル	ＳＢＩホールディングス		15.26	18.54		1677.89	9.79343	63.8425		81.4504		66.2238	0.278779	1154.83	12.5512	20.8989		95.9707		38.1423	0.328122	232.067	3.42541
アーバンステージ日本橋浜町	野村不動産ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人		15.25			33.7822		0.317942		78.26				125.289	2.24267								
テルミック	三精テクノロジーズ		15.25			13.4279		13.79		86.9125		27.5163	0.664482	109.723	2.12874								
サンミック千代田	日本製紙グループ株式会社		15.24	-6.74		304.312	10.6349	56.4401		57.1312		31.8207	0.232719	280.43	4.00301	45.6471		75.7225		85.013	0.0226503	754.044	8.71729
新横浜ファーストビル	エー･アイ･シー	ｼﾞｬﾊﾟﾝﾘｱﾙｴｽﾃｲﾄ投資法人	15.24		311.085																		
土地及び建物	アズビル金門株式会社	白河精機	15.24							113.829													
Towa Koken KK	松戸公産		15.24							144.684													
三洋電機ｺﾝｼｭｰﾏｴﾚｸﾛﾆｸｽ	三洋電機		15.22			348.09				56.6134		51.6968	0.39274	1164.81									
東宝東和	東宝		15.22			211.946		57.598		99.9171		8.33108	3.15613	22.5621	1.28261								
小牧東部地区工業団地	名糖産業		15.21			3.80155		60.4106		96.3713		8.82781	0.908341	60.2455	1.6117								
留萌ｼｯﾋﾟﾝｸﾞｾﾝﾀｰ	イチローファイブ	中道リース	15.2		7.03357																		
TN Group Hawaii Inc	キャピタルメディカ	日産東京販売ホールディングス	15.2		32.4971																		
石川島汎用機サービス	ＩＨＩ		15.2	13.05		263.759	7.04031	100				41.7258	0.157908	500.439	6.37223	78.914		99.7628		55.7188	0.08697	228.382	3.19241
土地及び建物/京都市左京区	Unnamed Buyer	バルニバービ	15.19		-11.3606																		
日本橋イーストビル	Unnamed Buyer	ｵﾘｯｸｽ不動産投資法人	15.19		205.256																		
Land in Hokkaido	住友不動産	日本新薬	15.19		246.525	2068.15		86.593		91.0763		11.6672	0.281368	277.484	3.92824								
ﾊﾟｼﾌｨｯｸﾚｼﾞﾃﾞﾝｽ三軒茶屋ＩＩ	日本ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	15.19		-484	57.0697		0.249768		62.9904				114.979	2.16144								
トップレジデンス用賀	トップリート投資法人		15.19			29.8903		2.41597		158.974				103.888	2.09632								
土地及び建物	オー・アール・ディ	東急ストア	15.18																				
